1548891850.000000 ccnd[4469]:  ____________________ Thu Jan 31 08:44:10 2019
1548891850.887690 00000000.ccnd[4469]: =======================ex index n: 0
1548891850.887733 00000000.ccnd[4469]: =======================ex index l: 12
1548891850.887738 ccnd[4469]: CCND_DEBUG=1 CCND_CAP=5000
1548891850.887741 ccnd[4469]: CCND_DEBUG=1 CCND_CAP_G=5000
1548891850.887816 ccnd[4469]: listening on /tmp/.ccnd.sock
1548891850.887833 ccnd[4469]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1548891850.887841 ccnd[4469]: accepting ipv4 connections on fd 5
1548891850.887851 ccnd[4469]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1548891850.887859 ccnd[4469]: accepting ipv6 connections on fd 7
1548891850.938348 ccnd[4469]: accepted client fd=8 id=6
1548891850.938411 ccnd[4469]: shutdown client fd=8 id=6
1548891850.938417 ccnd[4469]: recycling face id 6 (slot 6)
1548891851.886250 ccnd[4469]: accepted client fd=8 id=6
1548891851.886867 ccnr[4474]: CCNR_DEBUG=7 CCNR_DIRECTORY=. CCNR_STATUS_PORT=
1548891851.886998 ccnr[4474]: Repository file is indexed
1548891851.888782 ccnd[4469]: accepted client fd=9 id=7
1548892151.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892159.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892167.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892173.000002 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892175.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892178.000002 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892183.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892191.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892199.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892207.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892215.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892224.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892231.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892238.000002 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892239.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892247.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892255.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892263.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892266.000004 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892271.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892279.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892287.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892295.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892303.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892311.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892319.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892329.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892335.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892343.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892351.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892353.000002 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892354.000001 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892359.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892367.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892375.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892383.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892391.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892399.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892407.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892415.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892423.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892431.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892436.000003 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892439.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892447.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892455.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892462.000003 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892463.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892471.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892479.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892487.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892495.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892504.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892511.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892519.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892523.000001 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892527.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892535.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892544.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892549.000003 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892551.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892559.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892567.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892575.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892583.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892585.000001 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892591.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892599.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892607.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892615.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892623.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892631.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892639.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892647.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892655.000003 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892655.000031 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892663.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892671.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892679.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892687.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892695.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892698.000004 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892703.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892711.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892719.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892727.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892736.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892743.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892752.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892754.000003 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892759.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892767.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
